Wavelength,0.115MB_AuNP_MQW,0.115MB_cenAuNP_MQW,0.30MB_AuNP_MQW,0.30MB_cenAuNP_MQW,0.115MB_AuNP_As30,0.115MB_cenAuNP_As30,0.30MB_AuNP_As30_1,0.30MB_cenAuNP_As30
347.0,0.13755,0.13781,0.08573,0.09928,0.13809,0.13797,0.1068,0.09529
348.0,0.13747,0.13749,0.08571,0.09915,0.13783,0.13768,0.10661,0.0951
349.0,0.13717,0.13717,0.08559,0.0989,0.13772,0.13742,0.10663,0.09488
350.0,0.13687,0.13694,0.08535,0.0987,0.13743,0.13711,0.1065,0.09487
351.0,0.13664,0.13669,0.08538,0.0987,0.13704,0.13702,0.10637,0.0947
352.0,0.13651,0.13649,0.08537,0.09856,0.13715,0.13677,0.10628,0.09455
353.0,0.13631,0.1362,0.08523,0.09847,0.13693,0.13649,0.10624,0.09445
354.0,0.13593,0.13592,0.08495,0.09815,0.13663,0.13623,0.10584,0.09418
355.0,0.13571,0.13571,0.08495,0.09802,0.13637,0.13603,0.10592,0.09424
356.0,0.13554,0.1354,0.08498,0.09805,0.13636,0.13581,0.10586,0.09397
357.0,0.13521,0.13517,0.08467,0.09795,0.13602,0.1355,0.10568,0.09396
358.0,0.13495,0.13514,0.08465,0.09782,0.13591,0.13536,0.10559,0.09373
359.0,0.13472,0.13465,0.08445,0.09751,0.13569,0.13501,0.1055,0.09378
360.0,0.13439,0.13448,0.08449,0.09758,0.13535,0.13483,0.10546,0.09358
361.0,0.13421,0.13418,0.08445,0.09744,0.1353,0.13453,0.10538,0.09351
362.0,0.13401,0.13407,0.08428,0.09727,0.135,0.13424,0.10509,0.09338
363.0,0.13375,0.1337,0.08418,0.09712,0.13477,0.13404,0.10514,0.09321
364.0,0.13341,0.13338,0.08405,0.09697,0.13445,0.13374,0.10503,0.09322
365.0,0.13306,0.1332,0.08407,0.09705,0.13419,0.13344,0.10481,0.09309
366.0,0.13297,0.13292,0.08402,0.09694,0.13404,0.13319,0.10474,0.09303
367.0,0.13268,0.13273,0.08386,0.09674,0.13377,0.13287,0.10458,0.09305
368.0,0.13248,0.13228,0.08384,0.09659,0.13351,0.1326,0.10451,0.0929
369.0,0.13198,0.13206,0.08366,0.09652,0.13304,0.13228,0.10424,0.09282
370.0,0.13182,0.13181,0.08379,0.0964,0.13292,0.132,0.10416,0.09279
371.0,0.13167,0.13156,0.08359,0.09628,0.13265,0.13169,0.10402,0.0927
372.0,0.13139,0.13124,0.0836,0.09613,0.13239,0.13139,0.1039,0.09254
373.0,0.13105,0.13089,0.08339,0.09604,0.13196,0.1311,0.1037,0.09254
374.0,0.13069,0.13071,0.08338,0.09591,0.13157,0.13074,0.10361,0.09249
375.0,0.13069,0.13025,0.08338,0.09583,0.13145,0.13048,0.1034,0.09238
376.0,0.13035,0.13007,0.0833,0.0957,0.13122,0.13007,0.10329,0.09222
377.0,0.13007,0.12974,0.08312,0.09555,0.13071,0.12988,0.10297,0.09216
378.0,0.12978,0.12937,0.08301,0.09529,0.13041,0.12941,0.10295,0.09203
379.0,0.12945,0.12911,0.08294,0.09542,0.13007,0.12928,0.10264,0.09197
380.0,0.12941,0.12881,0.08289,0.09517,0.13003,0.12878,0.10267,0.09182
381.0,0.12902,0.12858,0.08278,0.09518,0.12953,0.12853,0.10238,0.09165
382.0,0.12902,0.12822,0.08261,0.09489,0.12931,0.1282,0.10239,0.09154
383.0,0.12858,0.12796,0.08257,0.09475,0.12883,0.12793,0.10215,0.0914
384.0,0.12845,0.12756,0.08247,0.09469,0.12863,0.12763,0.10198,0.09117
385.0,0.12824,0.12744,0.08236,0.09472,0.12838,0.12724,0.10173,0.09119
386.0,0.12802,0.1271,0.08226,0.09446,0.128,0.12703,0.10167,0.09086
387.0,0.12764,0.12664,0.08208,0.0942,0.12771,0.1267,0.10151,0.09087
388.0,0.12739,0.1264,0.08204,0.0942,0.12741,0.12634,0.10131,0.09059
389.0,0.12723,0.12611,0.08192,0.09419,0.12707,0.12606,0.10117,0.09063
390.0,0.1269,0.12599,0.08188,0.09403,0.12692,0.12577,0.10106,0.09047
391.0,0.12668,0.12555,0.08173,0.09377,0.12658,0.1255,0.10087,0.09022
392.0,0.12626,0.12527,0.08154,0.09369,0.1261,0.12521,0.10065,0.09009
393.0,0.12597,0.12492,0.08153,0.09359,0.1259,0.12482,0.10052,0.08999
394.0,0.12569,0.12469,0.08136,0.09357,0.12563,0.12459,0.10028,0.08991
395.0,0.12557,0.12445,0.08141,0.0933,0.12547,0.1243,0.10026,0.08967
396.0,0.12521,0.12402,0.08122,0.09309,0.12511,0.12398,0.10001,0.08958
397.0,0.12479,0.12388,0.08107,0.09314,0.1248,0.12373,0.09986,0.08952
398.0,0.1247,0.12359,0.08109,0.09298,0.12468,0.12348,0.09975,0.08937
399.0,0.12443,0.12337,0.08093,0.09273,0.12441,0.12313,0.09958,0.08912
400.0,0.12421,0.1231,0.08099,0.09265,0.12428,0.12292,0.09945,0.089
401.0,0.12373,0.1227,0.08075,0.09238,0.12392,0.12262,0.09924,0.08886
402.0,0.12356,0.1226,0.08082,0.09241,0.12385,0.12236,0.09912,0.08882
403.0,0.12327,0.12217,0.08069,0.09222,0.12349,0.12208,0.09899,0.08856
404.0,0.12294,0.12211,0.08051,0.09212,0.12326,0.1218,0.09879,0.0884
405.0,0.12253,0.12173,0.08043,0.09189,0.12317,0.12169,0.09866,0.08821
406.0,0.1222,0.12148,0.08022,0.09176,0.12278,0.12132,0.09836,0.08822
407.0,0.12182,0.12115,0.08022,0.09149,0.12257,0.12105,0.09821,0.08789
408.0,0.12165,0.12093,0.08014,0.0915,0.12248,0.12084,0.09804,0.08776
409.0,0.12138,0.12085,0.07997,0.09135,0.12218,0.12064,0.0979,0.08772
410.0,0.12118,0.12038,0.07996,0.091,0.12213,0.12031,0.09773,0.08755
411.0,0.12064,0.12022,0.07979,0.09088,0.12168,0.12006,0.09758,0.08753
412.0,0.1204,0.11986,0.07972,0.0908,0.12136,0.11977,0.09736,0.08727
413.0,0.12024,0.11982,0.07953,0.09072,0.12135,0.11963,0.09724,0.08741
414.0,0.12006,0.1195,0.07949,0.09045,0.1212,0.1193,0.09719,0.08715
415.0,0.11969,0.11923,0.07942,0.09033,0.12094,0.1191,0.09705,0.08723
416.0,0.1194,0.11909,0.07936,0.09022,0.1206,0.11894,0.09673,0.08715
417.0,0.11921,0.11867,0.07911,0.09004,0.12034,0.11864,0.0966,0.08708
418.0,0.11907,0.11867,0.07904,0.08982,0.12017,0.11846,0.09648,0.08708
419.0,0.11881,0.11836,0.079,0.08972,0.12001,0.1182,0.09636,0.08696
420.0,0.11846,0.11823,0.07892,0.08958,0.11971,0.11817,0.09626,0.08685
421.0,0.11816,0.11786,0.07876,0.08946,0.11927,0.11783,0.09604,0.08665
422.0,0.11813,0.11784,0.07855,0.0893,0.11935,0.11779,0.09601,0.0867
423.0,0.11782,0.11762,0.07856,0.08904,0.11903,0.11742,0.09585,0.08632
424.0,0.11763,0.11738,0.07834,0.08871,0.11892,0.11743,0.09576,0.0862
425.0,0.11721,0.11723,0.07818,0.08878,0.11873,0.11728,0.09556,0.08589
426.0,0.11727,0.11721,0.07817,0.08852,0.11864,0.11707,0.09542,0.08575
427.0,0.11706,0.11706,0.07805,0.08841,0.11851,0.11694,0.09532,0.08568
428.0,0.11703,0.11683,0.078,0.08828,0.11829,0.11683,0.09528,0.08537
429.0,0.11651,0.11659,0.07796,0.088,0.11803,0.11673,0.09511,0.08513
430.0,0.11657,0.11646,0.07763,0.0881,0.11803,0.11652,0.09492,0.08495
431.0,0.11656,0.11649,0.07768,0.08791,0.11798,0.11639,0.09489,0.0849
432.0,0.11619,0.1162,0.07764,0.08796,0.11772,0.11635,0.09455,0.08461
